season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2025,NBA,Paolo Banchero,banchpa01,22.0,ORL,PF,46,46.0,1582.0,412,911,0.452,87.0,272.0,0.32,325.0,639.0,0.509,0.5,280,385,0.727,51.0,294.0,345.0,219,36.0,28.0,136.0,97.0,1191,0.0
2025,NBA,Desmond Bane,banede01,26.0,MEM,SG,69,68.0,2205.0,493,1018,0.484,164.0,418.0,0.392,329.0,600.0,0.548,0.565,177,198,0.894,62.0,356.0,418.0,369,80.0,28.0,169.0,164.0,1327,1.0
2025,NBA,Dalano Banton,bantoda01,25.0,POR,PG,67,7.0,1120.0,198,507,0.391,72.0,222.0,0.324,126.0,285.0,0.442,0.462,91,125,0.728,30.0,105.0,135.0,160,43.0,34.0,86.0,58.0,559,0.0
2025,NBA,Dominick Barlow,barlodo01,21.0,ATL,SF,35,4.0,375.0,60,113,0.531,7.0,27.0,0.259,53.0,86.0,0.616,0.562,21,33,0.636,35.0,50.0,85.0,19,9.0,16.0,5.0,47.0,148,0.0
2025,NBA,Harrison Barnes,barneha02,32.0,SAS,PF,82,82.0,2230.0,347,683,0.508,156.0,360.0,0.433,191.0,323.0,0.591,0.622,161,199,0.809,97.0,213.0,310.0,136,39.0,14.0,50.0,75.0,1011,0.0
2025,NBA,Scottie Barnes,barnesc01,23.0,TOR,PF,65,65.0,2134.0,474,1063,0.446,76.0,280.0,0.271,398.0,783.0,0.508,0.482,228,302,0.755,109.0,393.0,502.0,378,93.0,63.0,185.0,113.0,1252,1.0
2025,NBA,RJ Barrett,barrerj01,24.0,TOR,SF,58,58.0,1869.0,460,982,0.468,107.0,306.0,0.35,353.0,676.0,0.522,0.523,196,311,0.63,61.0,305.0,366.0,314,46.0,17.0,165.0,137.0,1223,2.0
2025,NBA,Charles Bassey,bassech01,24.0,SAS,C,36,1.0,376.0,68,117,0.581,0.0,0.0,,68.0,117.0,0.581,0.581,21,33,0.636,56.0,96.0,152.0,17,14.0,30.0,23.0,50.0,157,0.0
2025,NBA,Emoni Bates,batesem01,21.0,CLE,SF,10,0.0,75.0,13,38,0.342,11.0,30.0,0.367,2.0,8.0,0.25,0.487,0,0,,0.0,7.0,7.0,8,1.0,1.0,2.0,4.0,37,0.0
2025,NBA,Jamison Battle,battlja01,23.0,TOR,SF,59,10.0,1042.0,149,347,0.429,105.0,259.0,0.405,44.0,88.0,0.5,0.581,16,18,0.889,37.0,121.0,158.0,53,17.0,10.0,27.0,92.0,419,0.0
