matchup_id,game_date,home,away,playoffs,whos_favored,spread,total,moneyline_home,moneyline_away
CLE-ATL-2025-11-28,2025-11-28,ATL,CLE,0,away,6.5,236.5,,
PHI-BRK-2025-11-28,2025-11-28,BRK,PHI,0,away,7,222.5,,
CHI-CHO-2025-11-28,2025-11-28,CHO,CHI,0,away,3,248.5,,
ORL-DET-2025-11-28,2025-11-28,DET,ORL,0,home,3.5,230.5,,
WAS-IND-2025-11-28,2025-11-28,IND,WAS,0,home,6.5,240.5,,
MIL-NYK-2025-11-28,2025-11-28,NYK,MIL,0,home,7.5,232.5,,
PHO-OKC-2025-11-28,2025-11-28,OKC,PHO,0,home,14.5,223.5,,
SAS-DEN-2025-11-28,2025-11-28,DEN,SAS,0,home,7,238.5,,
SAC-UTA-2025-11-28,2025-11-28,UTA,SAC,0,home,2.5,242,,
DAL-LAL-2025-11-28,2025-11-28,LAL,DAL,0,home,10,232.5,,
MEM-LAC-2025-11-28,2025-11-28,LAC,MEM,0,home,6.5,224.5,,
BOS-MIN-2025-11-29,2025-11-29,MIN,BOS,0,home,6,229.5,,
TOR-CHO-2025-11-29,2025-11-29,CHO,TOR,0,away,6.5,234,,
CHI-IND-2025-11-29,2025-11-29,IND,CHI,0,away,2.5,240,,
DET-MIA-2025-11-29,2025-11-29,MIA,DET,0,home,3.5,239.5,,
BRK-MIL-2025-11-29,2025-11-29,MIL,BRK,0,home,11.5,218.5,,
NOP-GSW-2025-11-29,2025-11-29,GSW,NOP,0,home,10,228,,
DEN-PHO-2025-11-29,2025-11-29,PHO,DEN,0,away,3.5,233.5,,
DAL-LAC-2025-11-29,2025-11-29,LAC,DAL,0,home,9.5,224.5,,
HOU-UTA-2025-11-30,2025-11-30,UTA,HOU,0,away,11.5,233.5,,
BOS-CLE-2025-11-30,2025-11-30,CLE,BOS,0,home,7.5,235,,
TOR-NYK-2025-11-30,2025-11-30,NYK,TOR,0,home,8.5,229,,
ATL-PHI-2025-11-30,2025-11-30,PHI,ATL,0,home,3,232.5,,
OKC-POR-2025-11-30,2025-11-30,POR,OKC,0,away,11.5,234,,
SAS-MIN-2025-11-30,2025-11-30,MIN,SAS,0,home,4.5,234,,
MEM-SAC-2025-11-30,2025-11-30,SAC,MEM,0,away,3,233.5,,
NOP-LAL-2025-11-30,2025-11-30,LAL,NOP,0,home,15.5,228.5,,
ATL-DET-2025-12-01,2025-12-01,DET,ATL,0,home,9.5,232.5,,
CLE-IND-2025-12-01,2025-12-01,IND,CLE,0,away,4.5,231,,
MIL-WAS-2025-12-01,2025-12-01,WAS,MIL,0,away,10.5,232.5,,
CHO-BRK-2025-12-01,2025-12-01,BRK,CHO,0,away,4.5,228.5,,
LAC-MIA-2025-12-01,2025-12-01,MIA,LAC,0,home,6.5,235.5,,
CHI-ORL-2025-12-01,2025-12-01,ORL,CHI,0,home,9.5,239.5,,
DAL-DEN-2025-12-01,2025-12-01,DEN,DAL,0,home,11.5,235.5,,
HOU-UTA-2025-12-01,2025-12-01,UTA,HOU,0,away,11.5,234.5,,
PHO-LAL-2025-12-01,2025-12-01,LAL,PHO,0,home,5.5,231.5,,
WAS-PHI-2025-12-02,2025-12-02,PHI,WAS,0,home,13.5,234.5,,
POR-TOR-2025-12-02,2025-12-02,TOR,POR,0,home,5,230.5,,
NYK-BOS-2025-12-02,2025-12-02,BOS,NYK,0,away,1,230.5,,
MIN-NOP-2025-12-02,2025-12-02,NOP,MIN,0,away,12.5,229.5,,
MEM-SAS-2025-12-02,2025-12-02,SAS,MEM,0,home,5,232.5,,
OKC-GSW-2025-12-02,2025-12-02,GSW,OKC,0,away,11,223.5,,
POR-CLE-2025-12-03,2025-12-03,CLE,POR,0,home,10.5,243.5,,
DEN-IND-2025-12-03,2025-12-03,IND,DEN,0,away,8,237.5,,
SAS-ORL-2025-12-03,2025-12-03,ORL,SAS,0,home,8.5,235.5,,
LAC-ATL-2025-12-03,2025-12-03,ATL,LAC,0,home,1.5,225.5,,
CHO-NYK-2025-12-03,2025-12-03,NYK,CHO,0,home,9.5,236,,
BRK-CHI-2025-12-03,2025-12-03,CHI,BRK,0,home,8,231.5,,
SAC-HOU-2025-12-03,2025-12-03,HOU,SAC,0,home,15.5,230.5,,
DET-MIL-2025-12-03,2025-12-03,MIL,DET,0,away,4.5,228.5,,
MIA-DAL-2025-12-03,2025-12-03,DAL,MIA,0,away,4.5,238.5,,
BOS-WAS-2025-12-04,2025-12-04,WAS,BOS,0,away,10.5,231,,
GSW-PHI-2025-12-04,2025-12-04,PHI,GSW,0,home,4,224,,
UTA-BRK-2025-12-04,2025-12-04,BRK,UTA,0,away,5,231,,
LAL-TOR-2025-12-04,2025-12-04,TOR,LAL,0,home,2.5,228.5,,
MIN-NOP-2025-12-04,2025-12-04,NOP,MIN,0,away,11.5,233,,
LAL-BOS-2025-12-05,2025-12-05,BOS,LAL,0,home,9,227.5,,
MIA-ORL-2025-12-05,2025-12-05,ORL,MIA,0,home,6.5,241,,
